message,label
"Hey, I really enjoyed your latest Instagram post about the event!",0
"Thanks for sharing those beautiful photos on social media yesterday",0
"Can you send me the link to your Instagram? Want to follow your updates",0
"Your photography skills are amazing, do you have a portfolio I can check out?",0
"Love the pictures from the concert you posted!",0
"Hey, saw your work on Instagram - really inspiring stuff!",0
"Nice photos from the beach! Which camera do you use?",0
"Your Instagram feed is so well curated, great aesthetic!",0
"That picture of the sunset you posted was breathtaking",0
"Do you have a public Instagram? Would love to follow your content",0
"Hey, are you available for a professional photoshoot next week?",0
"Your travel photos are amazing! Which editing app do you use?",0
"Can you share tips on how you edit your Instagram photos?",0
"I'm organizing an event, would you be interested in being our photographer?",0
"Love your photography style! Do you offer photography classes?",0